total_SBA,540,7a,ESTAB,GEO_ID,mean_agi,ZIPCODE,SBA_per_Small,540_per_Small,7a_per_Small,tot_ratio_buckets,tot_ratio_buckets_rank,_540_ratio_buckets,_540_ratio_buckets_rank,_7a_ratio_buckets,_7a_ratio_buckets_rank,mean_agi_buckets,mean_agi_buckets_rank
1,,1.0,,,,45540,,,,,,,,,,,
1,,1.0,116.0,8610000US45846,50567.0,45846,0.00862068965517,,0.00862068965517,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(49963, 58591]",5.0
1,,1.0,410.0,8610000US49301,119875.0,49301,0.00243902439024,,0.00243902439024,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(113143.25, 1015625]",8.0
1,,1.0,,,,49465,,,,,,,,,,,
1,,1.0,,,,54673,,,,,,,,,,,
1,,1.0,,,,55492,,,,,,,,,,,
1,1.0,,74.0,8610000US55949,35309.0,55949,0.0135135135135,0.0135135135135,,"(0.00178, 0.0192]",2.0,"(0.00659, 0.0145]",2.0,,,"(31958.75, 36760]",2.0
1,,1.0,,,,59409,,,,,,,,,,,
1,,1.0,834.0,8610000US60073,36613.0,60073,0.00119904076739,,0.00119904076739,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,,,,64509,,,,,,,,,,,
1,,1.0,,,,64541,,,,,,,,,,,
1,,1.0,120.0,8610000US65010,38810.0,65010,0.00833333333333,,0.00833333333333,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(36760, 43085]",3.0
1,,1.0,104.0,8610000US65037,30033.0,65037,0.00961538461538,,0.00961538461538,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,,,,65405,,,,,,,,,,,
1,,1.0,103.0,8610000US70776,50783.0,70776,0.00970873786408,,0.00970873786408,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(49963, 58591]",5.0
1,,1.0,531.0,8610000US74063,41661.0,74063,0.00188323917137,,0.00188323917137,"(0.00178, 0.0192]",2.0,,,"[0.000244, 0.0019]",1.0,"(36760, 43085]",3.0
1,,1.0,,,,74086,,,,,,,,,,,
