total_SBA,540,7a,ESTAB,GEO_ID,mean_agi,ZIPCODE,SBA_per_Small,540_per_Small,7a_per_Small,tot_ratio_buckets,tot_ratio_buckets_rank,_540_ratio_buckets,_540_ratio_buckets_rank,_7a_ratio_buckets,_7a_ratio_buckets_rank,mean_agi_buckets,mean_agi_buckets_rank
1,1.0,,1312.0,8610000US93901,43694.0,93901,0.000762195121951,0.000762195121951,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(43085, 49963]",4.0
2,,2.0,425.0,8610000US93905,24268.0,93905,0.00470588235294,,0.00470588235294,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,18.0,8610000US93912,,93912,0.0555555555556,,0.0555555555556,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,,1.0,309.0,8610000US93921,,93921,0.00323624595469,,0.00323624595469,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,,
1,,1.0,541.0,8610000US93923,115399.0,93923,0.00184842883549,,0.00184842883549,"(0.00178, 0.0192]",2.0,,,"[0.000244, 0.0019]",1.0,"(113143.25, 1015625]",8.0
1,1.0,,318.0,8610000US93933,36422.0,93933,0.00314465408805,0.00314465408805,,"(0.00178, 0.0192]",2.0,"[0.000264, 0.00659]",1.0,,,"(31958.75, 36760]",2.0
3,,3.0,1780.0,8610000US93940,67612.0,93940,0.00168539325843,,0.00168539325843,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(58591, 72552]",6.0
2,,2.0,444.0,8610000US93950,59194.0,93950,0.0045045045045,,0.0045045045045,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(58591, 72552]",6.0
1,,1.0,568.0,8610000US93955,32785.0,93955,0.00176056338028,,0.00176056338028,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,1.0,,150.0,8610000US93960,32633.0,93960,0.00666666666667,0.00666666666667,,"(0.00178, 0.0192]",2.0,"(0.00659, 0.0145]",2.0,,,"(31958.75, 36760]",2.0
2,,2.0,,,,94001,,,,,,,,,,,
144,22.0,122.0,710.0,8610000US94002,101920.0,94002,0.202816901408,0.030985915493,0.171830985915,"(0.201, 0.25]",6.0,"(0.0273, 0.0391]",5.0,"(0.146, 0.178]",5.0,"(72552, 113143.25]",7.0
3,1.0,2.0,,,,94003,,,,,,,,,,,
52,14.0,38.0,288.0,8610000US94005,87772.0,94005,0.180555555556,0.0486111111111,0.131944444444,"(0.163, 0.201]",5.0,"(0.0391, 0.0535]",6.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
1,,1.0,,,,94006,,,,,,,,,,,
301,52.0,249.0,2216.0,8610000US94010,228714.0,94010,0.13583032491,0.0234657039711,0.112364620939,"(0.111, 0.163]",4.0,"(0.0202, 0.0273]",4.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
1,,1.0,19.0,8610000US94011,,94011,0.0526315789474,,0.0526315789474,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
2,,2.0,,,,94012,,,,,,,,,,,
2,1.0,1.0,,,,94013,,,,,,,,,,,
112,13.0,99.0,594.0,8610000US94014,39714.0,94014,0.188552188552,0.0218855218855,0.166666666667,"(0.163, 0.201]",5.0,"(0.0202, 0.0273]",4.0,"(0.146, 0.178]",5.0,"(36760, 43085]",3.0
88,3.0,85.0,869.0,8610000US94015,45790.0,94015,0.101265822785,0.00345224395857,0.0978135788262,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(43085, 49963]",4.0
2,,2.0,9.0,8610000US94017,,94017,0.222222222222,,0.222222222222,"(0.201, 0.25]",6.0,,,"(0.178, 0.222]",6.0,,
14,,14.0,72.0,8610000US94018,,94018,0.194444444444,,0.194444444444,"(0.163, 0.201]",5.0,,,"(0.178, 0.222]",6.0,,
106,11.0,95.0,437.0,8610000US94019,101703.0,94019,0.242562929062,0.025171624714,0.217391304348,"(0.201, 0.25]",6.0,"(0.0202, 0.0273]",4.0,"(0.178, 0.222]",6.0,"(72552, 113143.25]",7.0
6,,6.0,24.0,8610000US94020,95560.0,94020,0.25,,0.25,"(0.201, 0.25]",6.0,,,"(0.222, 0.3]",7.0,"(72552, 113143.25]",7.0
108,17.0,91.0,931.0,8610000US94022,359482.0,94022,0.116004296455,0.0182599355532,0.0977443609023,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
2,,2.0,9.0,8610000US94023,,94023,0.222222222222,,0.222222222222,"(0.201, 0.25]",6.0,,,"(0.178, 0.222]",6.0,,
53,6.0,47.0,465.0,8610000US94024,260721.0,94024,0.113978494624,0.0129032258065,0.101075268817,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
207,28.0,179.0,1721.0,8610000US94025,232139.0,94025,0.120278907612,0.0162696106915,0.10400929692,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
1,,1.0,20.0,8610000US94026,,94026,0.05,,0.05,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
8,2.0,6.0,177.0,8610000US94027,1015625.0,94027,0.045197740113,0.0112994350282,0.0338983050847,"(0.0192, 0.111]",3.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
20,1.0,19.0,188.0,8610000US94028,432269.0,94028,0.106382978723,0.00531914893617,0.101063829787,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
95,3.0,92.0,531.0,8610000US94030,75193.0,94030,0.178907721281,0.00564971751412,0.173258003766,"(0.163, 0.201]",5.0,"[0.000264, 0.00659]",1.0,"(0.146, 0.178]",5.0,"(72552, 113143.25]",7.0
4,,4.0,64.0,8610000US94035,,94035,0.0625,,0.0625,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,,1.0,,,,94036,,,,,,,,,,,
7,2.0,5.0,60.0,8610000US94037,,94037,0.116666666667,0.0333333333333,0.0833333333333,"(0.111, 0.163]",4.0,"(0.0273, 0.0391]",5.0,"(0.0323, 0.108]",3.0,,
7,,7.0,45.0,8610000US94038,74636.0,94038,0.155555555556,,0.155555555556,"(0.111, 0.163]",4.0,,,"(0.146, 0.178]",5.0,"(72552, 113143.25]",7.0
3,1.0,2.0,3.0,8610000US94039,,94039,1.0,0.333333333333,0.666666666667,"(0.333, 5]",8.0,"(0.1, 1]",8.0,"(0.3, 4]",8.0,,
173,26.0,147.0,1010.0,8610000US94040,112658.0,94040,0.171287128713,0.0257425742574,0.145544554455,"(0.163, 0.201]",5.0,"(0.0202, 0.0273]",4.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
95,15.0,80.0,488.0,8610000US94041,130968.0,94041,0.194672131148,0.030737704918,0.16393442623,"(0.163, 0.201]",5.0,"(0.0273, 0.0391]",5.0,"(0.146, 0.178]",5.0,"(113143.25, 1015625]",8.0
5,2.0,3.0,11.0,8610000US94042,,94042,0.454545454545,0.181818181818,0.272727272727,"(0.333, 5]",8.0,"(0.1, 1]",8.0,"(0.222, 0.3]",7.0,,
215,71.0,144.0,1156.0,8610000US94043,102443.0,94043,0.18598615917,0.0614186851211,0.124567474048,"(0.163, 0.201]",5.0,"(0.0535, 0.1]",7.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
94,3.0,91.0,557.0,8610000US94044,64854.0,94044,0.168761220826,0.00538599640934,0.163375224417,"(0.163, 0.201]",5.0,"[0.000264, 0.00659]",1.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
1,,1.0,,,,94046,,,,,,,,,,,
1,,1.0,,,,94051,,,,,,,,,,,
1,1.0,,,,,94053,,,,,,,,,,,
4,,4.0,37.0,8610000US94060,53509.0,94060,0.108108108108,,0.108108108108,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(49963, 58591]",5.0
61,10.0,51.0,560.0,8610000US94061,79487.0,94061,0.108928571429,0.0178571428571,0.0910714285714,"(0.0192, 0.111]",3.0,"(0.0145, 0.0202]",3.0,"(0.0323, 0.108]",3.0,"(72552, 113143.25]",7.0
60,7.0,53.0,681.0,8610000US94062,275443.0,94062,0.0881057268722,0.0102790014684,0.0778267254038,"(0.0192, 0.111]",3.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
352,72.0,280.0,1598.0,8610000US94063,45783.0,94063,0.22027534418,0.0450563204005,0.17521902378,"(0.201, 0.25]",6.0,"(0.0391, 0.0535]",6.0,"(0.146, 0.178]",5.0,"(43085, 49963]",4.0
5,,5.0,18.0,8610000US94064,,94064,0.277777777778,,0.277777777778,"(0.25, 0.333]",7.0,,,"(0.222, 0.3]",7.0,,
40,2.0,38.0,465.0,8610000US94065,178807.0,94065,0.0860215053763,0.00430107526882,0.0817204301075,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
160,13.0,147.0,997.0,8610000US94066,56842.0,94066,0.160481444333,0.0130391173521,0.147442326981,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(49963, 58591]",5.0
1,,1.0,,,,94067,,,,,,,,,,,
2,,2.0,,,,94068,,,,,,,,,,,
1,,1.0,,,,94069,,,,,,,,,,,
385,70.0,315.0,1376.0,8610000US94070,136980.0,94070,0.279796511628,0.0508720930233,0.228924418605,"(0.25, 0.333]",7.0,"(0.0391, 0.0535]",6.0,"(0.222, 0.3]",7.0,"(113143.25, 1015625]",8.0
3,,3.0,,,,94071,,,,,,,,,,,
1,,1.0,,,,94073,,,,,,,,,,,
1,1.0,,9.0,8610000US94074,48062.0,94074,0.111111111111,0.111111111111,,"(0.0192, 0.111]",3.0,"(0.1, 1]",8.0,,,"(43085, 49963]",4.0
1,,1.0,,,,94078,,,,,,,,,,,
524,124.0,400.0,2132.0,8610000US94080,53634.0,94080,0.245778611632,0.0581613508443,0.187617260788,"(0.201, 0.25]",6.0,"(0.0535, 0.1]",7.0,"(0.178, 0.222]",6.0,"(49963, 58591]",5.0
8,1.0,7.0,21.0,8610000US94083,,94083,0.380952380952,0.047619047619,0.333333333333,"(0.333, 5]",8.0,"(0.0391, 0.0535]",6.0,"(0.3, 4]",8.0,,
2,1.0,1.0,,,,94084,,,,,,,,,,,
93,20.0,73.0,824.0,8610000US94085,69689.0,94085,0.11286407767,0.0242718446602,0.0885922330097,"(0.111, 0.163]",4.0,"(0.0202, 0.0273]",4.0,"(0.0323, 0.108]",3.0,"(58591, 72552]",6.0
288,67.0,221.0,906.0,8610000US94086,81086.0,94086,0.317880794702,0.0739514348786,0.243929359823,"(0.25, 0.333]",7.0,"(0.0535, 0.1]",7.0,"(0.222, 0.3]",7.0,"(72552, 113143.25]",7.0
203,19.0,184.0,1127.0,8610000US94087,103776.0,94087,0.180124223602,0.01685891748,0.163265306122,"(0.163, 0.201]",5.0,"(0.0145, 0.0202]",3.0,"(0.146, 0.178]",5.0,"(72552, 113143.25]",7.0
4,1.0,3.0,15.0,8610000US94088,,94088,0.266666666667,0.0666666666667,0.2,"(0.25, 0.333]",7.0,"(0.0535, 0.1]",7.0,"(0.178, 0.222]",6.0,,
128,42.0,86.0,584.0,8610000US94089,63817.0,94089,0.219178082192,0.0719178082192,0.147260273973,"(0.201, 0.25]",6.0,"(0.0535, 0.1]",7.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
1,,1.0,,,,94097,,,,,,,,,,,
7,1.0,6.0,,,,94101,,,,,,,,,,,
339,43.0,296.0,1768.0,8610000US94102,67387.0,94102,0.191742081448,0.0243212669683,0.16742081448,"(0.163, 0.201]",5.0,"(0.0202, 0.0273]",4.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
740,168.0,572.0,2950.0,8610000US94103,115891.0,94103,0.250847457627,0.0569491525424,0.193898305085,"(0.25, 0.333]",7.0,"(0.0535, 0.1]",7.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
161,8.0,153.0,2155.0,8610000US94104,468500.0,94104,0.0747099767981,0.00371229698376,0.0709976798144,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
199,26.0,173.0,2318.0,8610000US94105,333328.0,94105,0.0858498705781,0.0112165660052,0.0746333045729,"(0.0192, 0.111]",3.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
1,,1.0,,,,94106,,,,,,,,,,,
559,102.0,457.0,2431.0,8610000US94107,153468.0,94107,0.229946524064,0.041958041958,0.187988482106,"(0.201, 0.25]",6.0,"(0.0391, 0.0535]",6.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
191,9.0,182.0,1743.0,8610000US94108,99811.0,94108,0.10958118187,0.00516351118761,0.104417670683,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(72552, 113143.25]",7.0
334,59.0,275.0,1764.0,8610000US94109,114506.0,94109,0.189342403628,0.0334467120181,0.15589569161,"(0.163, 0.201]",5.0,"(0.0273, 0.0391]",5.0,"(0.146, 0.178]",5.0,"(113143.25, 1015625]",8.0
478,64.0,414.0,2076.0,8610000US94110,86715.0,94110,0.230250481696,0.0308285163776,0.199421965318,"(0.201, 0.25]",6.0,"(0.0273, 0.0391]",5.0,"(0.178, 0.222]",6.0,"(72552, 113143.25]",7.0
257,23.0,234.0,2597.0,8610000US94111,546841.0,94111,0.0989603388525,0.00885637273777,0.0901039661147,"(0.0192, 0.111]",3.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
121,12.0,109.0,827.0,8610000US94112,39853.0,94112,0.146311970979,0.0145102781137,0.131801692866,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(36760, 43085]",3.0
3,,3.0,,,,94113,,,,,,,,,,,
214,15.0,199.0,1090.0,8610000US94114,171593.0,94114,0.196330275229,0.0137614678899,0.182568807339,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
185,25.0,160.0,1264.0,8610000US94115,169834.0,94115,0.146360759494,0.0197784810127,0.126582278481,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
121,12.0,109.0,673.0,8610000US94116,66297.0,94116,0.179791976226,0.0178306092125,0.161961367013,"(0.163, 0.201]",5.0,"(0.0145, 0.0202]",3.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
189,8.0,181.0,981.0,8610000US94117,123297.0,94117,0.192660550459,0.00815494393476,0.184505606524,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
207,23.0,184.0,1307.0,8610000US94118,153679.0,94118,0.158377964805,0.017597551645,0.14078041316,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
2,,2.0,10.0,8610000US94119,,94119,0.2,,0.2,"(0.163, 0.201]",5.0,,,"(0.178, 0.222]",6.0,,
1,,1.0,7.0,8610000US94120,,94120,0.142857142857,,0.142857142857,"(0.111, 0.163]",4.0,,,"(0.108, 0.146]",4.0,,
105,12.0,93.0,744.0,8610000US94121,83889.0,94121,0.141129032258,0.0161290322581,0.125,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
173,14.0,159.0,1076.0,8610000US94122,65415.0,94122,0.160780669145,0.0130111524164,0.147769516729,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
212,14.0,198.0,1159.0,8610000US94123,228217.0,94123,0.182916307161,0.0120793787748,0.170836928387,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(113143.25, 1015625]",8.0
390,90.0,300.0,1211.0,8610000US94124,33291.0,94124,0.322047894302,0.074318744839,0.247729149463,"(0.25, 0.333]",7.0,"(0.0535, 0.1]",7.0,"(0.222, 0.3]",7.0,"(31958.75, 36760]",2.0
2,,2.0,7.0,8610000US94125,,94125,0.285714285714,,0.285714285714,"(0.25, 0.333]",7.0,,,"(0.222, 0.3]",7.0,,
1,,1.0,9.0,8610000US94126,,94126,0.111111111111,,0.111111111111,"(0.0192, 0.111]",3.0,,,"(0.108, 0.146]",4.0,,
80,2.0,78.0,490.0,8610000US94127,124019.0,94127,0.163265306122,0.00408163265306,0.159183673469,"(0.163, 0.201]",5.0,"[0.000264, 0.00659]",1.0,"(0.146, 0.178]",5.0,"(113143.25, 1015625]",8.0
7,1.0,6.0,177.0,8610000US94128,,94128,0.0395480225989,0.00564971751412,0.0338983050847,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,,
19,1.0,18.0,256.0,8610000US94129,213084.0,94129,0.07421875,0.00390625,0.0703125,"(0.0192, 0.111]",3.0,"[0.000264, 0.00659]",1.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
8,,8.0,48.0,8610000US94130,30814.0,94130,0.166666666667,,0.166666666667,"(0.163, 0.201]",5.0,,,"(0.146, 0.178]",5.0,"[18558, 31958.75]",1.0
90,9.0,81.0,429.0,8610000US94131,127799.0,94131,0.20979020979,0.020979020979,0.188811188811,"(0.201, 0.25]",6.0,"(0.0202, 0.0273]",4.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
71,3.0,68.0,482.0,8610000US94132,56764.0,94132,0.147302904564,0.00622406639004,0.141078838174,"(0.111, 0.163]",4.0,"[0.000264, 0.00659]",1.0,"(0.108, 0.146]",4.0,"(49963, 58591]",5.0
180,19.0,161.0,1451.0,8610000US94133,99073.0,94133,0.124052377671,0.013094417643,0.110957960028,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
58,4.0,54.0,359.0,8610000US94134,36510.0,94134,0.161559888579,0.0111420612813,0.150417827298,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(31958.75, 36760]",2.0
1,,1.0,,,,94135,,,,,,,,,,,
1,,1.0,2.0,8610000US94137,,94137,0.5,,0.5,"(0.333, 5]",8.0,,,"(0.3, 4]",8.0,,
1,,1.0,4.0,8610000US94140,,94140,0.25,,0.25,"(0.201, 0.25]",6.0,,,"(0.222, 0.3]",7.0,,
1,,1.0,9.0,8610000US94141,,94141,0.111111111111,,0.111111111111,"(0.0192, 0.111]",3.0,,,"(0.108, 0.146]",4.0,,
1,,1.0,3.0,8610000US94142,,94142,0.333333333333,,0.333333333333,"(0.25, 0.333]",7.0,,,"(0.3, 4]",8.0,,
3,,3.0,11.0,8610000US94143,,94143,0.272727272727,,0.272727272727,"(0.25, 0.333]",7.0,,,"(0.222, 0.3]",7.0,,
1,,1.0,7.0,8610000US94146,,94146,0.142857142857,,0.142857142857,"(0.111, 0.163]",4.0,,,"(0.108, 0.146]",4.0,,
1,,1.0,6.0,8610000US94147,,94147,0.166666666667,,0.166666666667,"(0.163, 0.201]",5.0,,,"(0.146, 0.178]",5.0,,
5,,5.0,138.0,8610000US94158,141057.0,94158,0.036231884058,,0.036231884058,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
1,,1.0,,,,94163,,,,,,,,,,,
1,1.0,,3.0,8610000US94164,,94164,0.333333333333,0.333333333333,,"(0.25, 0.333]",7.0,"(0.1, 1]",8.0,,,,
3,1.0,2.0,7.0,8610000US94188,,94188,0.428571428571,0.142857142857,0.285714285714,"(0.333, 5]",8.0,"(0.1, 1]",8.0,"(0.222, 0.3]",7.0,,
1,1.0,,,,,94193,,,,,,,,,,,
1,,1.0,,,,94197,,,,,,,,,,,
1,,1.0,,,,94204,,,,,,,,,,,
1,,1.0,,,,94298,,,,,,,,,,,
1,,1.0,,,,94300,,,,,,,,,,,
120,12.0,108.0,1415.0,8610000US94301,871183.0,94301,0.0848056537102,0.00848056537102,0.0763250883392,"(0.0192, 0.111]",3.0,"(0.00659, 0.0145]",2.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
86,27.0,59.0,888.0,8610000US94303,160039.0,94303,0.0968468468468,0.0304054054054,0.0664414414414,"(0.0192, 0.111]",3.0,"(0.0273, 0.0391]",5.0,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
10,,10.0,430.0,8610000US94304,347123.0,94304,0.0232558139535,,0.0232558139535,"(0.0192, 0.111]",3.0,,,"(0.0019, 0.0323]",2.0,"(113143.25, 1015625]",8.0
4,,4.0,102.0,8610000US94305,124361.0,94305,0.0392156862745,,0.0392156862745,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(113143.25, 1015625]",8.0
141,16.0,125.0,1042.0,8610000US94306,156003.0,94306,0.135316698656,0.0153550863724,0.119961612284,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
2,,2.0,,,,94308,,,,,,,,,,,
1,,1.0,,,,94330,,,,,,,,,,,
1,,1.0,,,,94335,,,,,,,,,,,
2,,2.0,,,,94336,,,,,,,,,,,
1,,1.0,,,,94350,,,,,,,,,,,
1,,1.0,,,,94365,,,,,,,,,,,
186,15.0,171.0,1080.0,8610000US94401,61143.0,94401,0.172222222222,0.0138888888889,0.158333333333,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
131,14.0,117.0,1015.0,8610000US94402,144798.0,94402,0.129064039409,0.0137931034483,0.115270935961,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
165,22.0,143.0,1138.0,8610000US94403,103050.0,94403,0.144991212654,0.0193321616872,0.125659050967,"(0.111, 0.163]",4.0,"(0.0145, 0.0202]",3.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
134,12.0,122.0,931.0,8610000US94404,103145.0,94404,0.143931256713,0.0128893662728,0.13104189044,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
2,,2.0,,,,94405,,,,,,,,,,,
1,,1.0,,,,94406,,,,,,,,,,,
1,,1.0,,,,94410,,,,,,,,,,,
1,1.0,,,,,94412,,,,,,,,,,,
1,1.0,,,,,94414,,,,,,,,,,,
2,,2.0,,,,94417,,,,,,,,,,,
1,,1.0,,,,94418,,,,,,,,,,,
1,1.0,,,,,94446,,,,,,,,,,,
1,,1.0,,,,94450,,,,,,,,,,,
1,,1.0,,,,94451,,,,,,,,,,,
1,1.0,,,,,94459,,,,,,,,,,,
1,,1.0,,,,94492,,,,,,,,,,,
1,,1.0,,,,94494,,,,,,,,,,,
280,38.0,242.0,1427.0,8610000US94501,60382.0,94501,0.196215837421,0.0266292922214,0.1695865452,"(0.163, 0.201]",5.0,"(0.0202, 0.0273]",4.0,"(0.146, 0.178]",5.0,"(58591, 72552]",6.0
53,19.0,34.0,263.0,8610000US94502,86813.0,94502,0.201520912548,0.0722433460076,0.12927756654,"(0.201, 0.25]",6.0,"(0.0535, 0.1]",7.0,"(0.108, 0.146]",4.0,"(72552, 113143.25]",7.0
71,22.0,49.0,307.0,8610000US94503,46158.0,94503,0.231270358306,0.071661237785,0.159609120521,"(0.201, 0.25]",6.0,"(0.0535, 0.1]",7.0,"(0.146, 0.178]",5.0,"(43085, 49963]",4.0
1,,1.0,,,,94504,,,,,,,,,,,
5,,5.0,104.0,8610000US94505,65669.0,94505,0.0480769230769,,0.0480769230769,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(58591, 72552]",6.0
87,5.0,82.0,452.0,8610000US94506,160287.0,94506,0.192477876106,0.0110619469027,0.181415929204,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.178, 0.222]",6.0,"(113143.25, 1015625]",8.0
57,6.0,51.0,426.0,8610000US94507,202521.0,94507,0.133802816901,0.0140845070423,0.119718309859,"(0.111, 0.163]",4.0,"(0.00659, 0.0145]",2.0,"(0.108, 0.146]",4.0,"(113143.25, 1015625]",8.0
12,,12.0,67.0,8610000US94508,57598.0,94508,0.179104477612,,0.179104477612,"(0.163, 0.201]",5.0,,,"(0.178, 0.222]",6.0,"(49963, 58591]",5.0
294,33.0,261.0,929.0,8610000US94509,35590.0,94509,0.316469321851,0.0355220667384,0.280947255113,"(0.25, 0.333]",7.0,"(0.0273, 0.0391]",5.0,"(0.222, 0.3]",7.0,"(31958.75, 36760]",2.0
241,51.0,190.0,824.0,8610000US94510,63382.0,94510,0.292475728155,0.0618932038835,0.230582524272,"(0.25, 0.333]",7.0,"(0.0535, 0.1]",7.0,"(0.222, 0.3]",7.0,"(58591, 72552]",6.0
20,1.0,19.0,41.0,8610000US94511,,94511,0.487804878049,0.0243902439024,0.463414634146,"(0.333, 5]",8.0,"(0.0202, 0.0273]",4.0,"(0.3, 4]",8.0,,
1,,1.0,8.0,8610000US94512,,94512,0.125,,0.125,"(0.111, 0.163]",4.0,,,"(0.108, 0.146]",4.0,,
258,52.0,206.0,1092.0,8610000US94513,55850.0,94513,0.236263736264,0.047619047619,0.188644688645,"(0.201, 0.25]",6.0,"(0.0391, 0.0535]",6.0,"(0.178, 0.222]",6.0,"(49963, 58591]",5.0
41,4.0,37.0,76.0,8610000US94514,43516.0,94514,0.539473684211,0.0526315789474,0.486842105263,"(0.333, 5]",8.0,"(0.0391, 0.0535]",6.0,"(0.3, 4]",8.0,"(43085, 49963]",4.0
68,10.0,58.0,255.0,8610000US94515,59913.0,94515,0.266666666667,0.0392156862745,0.227450980392,"(0.25, 0.333]",7.0,"(0.0391, 0.0535]",6.0,"(0.222, 0.3]",7.0,"(58591, 72552]",6.0
1,,1.0,3.0,8610000US94516,,94516,0.333333333333,,0.333333333333,"(0.25, 0.333]",7.0,,,"(0.3, 4]",8.0,,
32,2.0,30.0,185.0,8610000US94517,77954.0,94517,0.172972972973,0.0108108108108,0.162162162162,"(0.163, 0.201]",5.0,"(0.00659, 0.0145]",2.0,"(0.146, 0.178]",5.0,"(72552, 113143.25]",7.0
122,17.0,105.0,443.0,8610000US94518,53250.0,94518,0.27539503386,0.038374717833,0.237020316027,"(0.25, 0.333]",7.0,"(0.0273, 0.0391]",5.0,"(0.222, 0.3]",7.0,"(49963, 58591]",5.0
71,6.0,65.0,267.0,8610000US94519,45715.0,94519,0.265917602996,0.0224719101124,0.243445692884,"(0.25, 0.333]",7.0,"(0.0202, 0.0273]",4.0,"(0.222, 0.3]",7.0,"(43085, 49963]",4.0
462,89.0,373.0,1908.0,8610000US94520,34847.0,94520,0.24213836478,0.0466457023061,0.195492662474,"(0.201, 0.25]",6.0,"(0.0391, 0.0535]",6.0,"(0.178, 0.222]",6.0,"(31958.75, 36760]",2.0
